eta,rate
32.8476,0.01
32.912,0.01259
33.3397,0.01585
33.3295,0.01995
33.4044,0.02512
33.19,0.03162
33.4215,0.03981
33.2953,0.05012
33.2175,0.0631
33.1822,0.07943
33.0578,0.1
32.9972,0.12589
32.9289,0.15849
32.7636,0.19953
32.6305,0.25119
32.418,0.31623
32.1798,0.39811
31.848,0.50119
31.5129,0.63096
31.0803,0.79433
30.5252,1
29.9329,1.25893
29.2657,1.58489
28.5212,1.99526
27.7021,2.51189
26.7639,3.16228
25.7591,3.98107
24.7458,5.01188
23.6366,6.30958
22.4379,7.94329
21.8094,10
20.2796,12.5893
18.814,15.8489
17.2585,19.9526
15.7937,25.1189
14.3778,31.6228
12.9594,39.8108
10.9761,50.1188
9.74232,63.0958
9.53615,79.4329
8.71099,100
