Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Radius_1,Radius_2,Radius_3,Radius_4,Radius_5,Radius_6,meanRadius,stdRadius
0,0,0,0,0,0,0.008971626,0.00817052,0.00965299,0.009267393,0.009263301,0.010234664,0.009260083,0.000689145
0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.066733333,0.009818973,0.009025583,0.010351232,0.010023083,0.010078906,0.0110088,0.010051096,0.000650291
0.1001,0.1001,0.1001,0.1001,0.1001,0.1001,0.011753893,0.011346212,0.010685614,0.010412353,0.010473362,0.011385589,0.011009504,0.000558188
0.15015,0.15015,0.15015,0.15015,0.15015,0.15015,0.012876193,0.012308915,0.012312398,0.012113894,0.011845016,0.012724564,0.012363497,0.000382084
0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.233566667,0.013752114,0.013132062,0.013319631,0.013036674,0.013255204,0.01383325,0.013388156,0.000329263
0.35035,0.35035,0.35035,0.35035,0.35035,0.35035,0.014532036,0.01373546,0.0140964,0.01417192,0.014243711,0.014584487,0.014227336,0.000310749
0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.533866667,0.015727487,0.016176396,0.01568861,0.015790244,0.015654552,0.015969219,0.015834418,0.000201056
0.8008,0.8008,0.8008,0.8008,0.8008,0.8008,0.015881519,0.015573934,0.015866333,0.01588911,0.015879499,0.016511947,0.015933724,0.000308541
1.2012,1.2012,1.2012,1.2012,1.2012,1.2012,0.016570617,0.015602633,0.016522626,0.0166214,0.016660431,0.017213656,0.016531894,0.00052047
1.8018,1.8018,1.8018,1.8018,1.8018,1.8018,0.01724779,0.016225463,0.017227634,0.017340193,0.017360882,0.017911457,0.017218903,0.000548148
2.7027,2.7027,2.7027,2.7027,2.7027,2.7027,0.017926235,0.016877315,0.017973986,0.018101767,0.018134968,0.018657266,0.017945256,0.000584659
4.05405,4.05405,4.05405,4.05405,4.05405,4.05405,0.018688649,0.017567317,0.018704906,0.018882895,0.018802257,0.019449538,0.018682594,0.000614332
6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,6.089416667,0.019537591,0.018321021,0.019420277,0.019695747,0.019343583,0.020337013,0.019442539,0.00065442
9.142466667,9.142466667,9.142466667,9.142466667,NaN,9.142466667,0.020530624,0.021306731,0.020595303,0.020686066,NaN,0.02124722,0.020873189,0.000373311
13.7137,NaN,13.7137,13.7137,13.7137,13.7137,0.021293295,NaN,0.020828061,0.02146347,0.020503077,0.022127179,0.021243016,0.000623011
20.57055,20.57055,20.57055,20.57055,20.57055,20.57055,0.022270886,0.020764177,0.021449842,0.022324224,0.02085745,0.023086776,0.021792226,0.000920425
30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,30.86416667,0.023299562,0.021547836,0.022096797,0.02317879,0.021355785,0.024039391,0.02258636,0.001077353
46.29625,46.29625,46.29625,46.29625,46.29625,46.29625,0.024384786,0.022338402,0.022789353,0.023964546,0.02184757,0.02501592,0.023390096,0.001249723
69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,69.45271667,0.02555332,0.023108001,0.023468326,0.024750515,0.022362621,0.025927054,0.024194973,0.001429746
104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,104.1874167,0.026778995,0.023913491,0.024094559,0.025574482,0.02286245,0.02680476,0.025004789,0.001632257
156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,156.2894667,0.028060557,0.024707201,0.024706804,0.026340608,0.02329446,0.027696796,0.025801071,0.001879746
234.4342,234.4342,234.4342,234.4342,234.4342,234.4342,0.029429846,0.025489875,0.025294753,0.027139664,0.023734502,0.028557839,0.026607746,0.002157738
